,province/state,country,latitude,longitude,confirmed,deaths,recovered,year,month,day
0,no_province/state,afghanistan,33.0,65.0,0,0,0,2020,1,22
1,no_province/state,albania,41.1533,20.1683,0,0,0,2020,1,22
2,no_province/state,algeria,28.0339,1.6596,0,0,0,2020,1,22
3,no_province/state,andorra,42.5063,1.5218,0,0,0,2020,1,22
4,no_province/state,angola,-11.2027,17.8739,0,0,0,2020,1,22
5,no_province/state,antigua and barbuda,17.0608,-61.7964,0,0,0,2020,1,22
6,no_province/state,argentina,-38.4161,-63.6167,0,0,0,2020,1,22
7,no_province/state,armenia,40.0691,45.0382,0,0,0,2020,1,22
8,australian capital territory,australia,-35.4735,149.0124,0,0,0,2020,1,22
9,new south wales,australia,-33.8688,151.2093,0,0,0,2020,1,22
10,northern territory,australia,-12.4634,130.8456,0,0,0,2020,1,22
11,queensland,australia,-28.0167,153.4,0,0,0,2020,1,22
12,south australia,australia,-34.9285,138.6007,0,0,0,2020,1,22
13,tasmania,australia,-41.4545,145.9707,0,0,0,2020,1,22
14,victoria,australia,-37.8136,144.9631,0,0,0,2020,1,22
15,western australia,australia,-31.9505,115.8605,0,0,0,2020,1,22
16,no_province/state,austria,47.5162,14.5501,0,0,0,2020,1,22
17,no_province/state,azerbaijan,40.1431,47.5769,0,0,0,2020,1,22
18,no_province/state,bahamas,25.0343,-77.3963,0,0,0,2020,1,22
19,no_province/state,bahrain,26.0275,50.55,0,0,0,2020,1,22
20,no_province/state,bangladesh,23.685,90.3563,0,0,0,2020,1,22
21,no_province/state,barbados,13.1939,-59.5432,0,0,0,2020,1,22
22,no_province/state,belarus,53.7098,27.9534,0,0,0,2020,1,22
23,no_province/state,belgium,50.8333,4.0,0,0,0,2020,1,22
24,no_province/state,benin,9.3077,2.3158,0,0,0,2020,1,22
25,no_province/state,bhutan,27.5142,90.4336,0,0,0,2020,1,22
26,no_province/state,bolivia,-16.2902,-63.5887,0,0,0,2020,1,22
27,no_province/state,bosnia and herzegovina,43.9159,17.6791,0,0,0,2020,1,22
28,no_province/state,brazil,-14.235,-51.9253,0,0,0,2020,1,22
29,no_province/state,brunei,4.5353,114.7277,0,0,0,2020,1,22
30,no_province/state,bulgaria,42.7339,25.4858,0,0,0,2020,1,22
31,no_province/state,burkina faso,12.2383,-1.5616,0,0,0,2020,1,22
32,no_province/state,cabo verde,16.5388,-23.0418,0,0,0,2020,1,22
33,no_province/state,cambodia,11.55,104.9167,0,0,0,2020,1,22
34,no_province/state,cameroon,3.8480000000000003,11.5021,0,0,0,2020,1,22
35,alberta,canada,53.9333,-116.5765,0,0,0,2020,1,22
36,british columbia,canada,49.2827,-123.1207,0,0,0,2020,1,22
37,manitoba,canada,53.7609,-98.8139,0,0,0,2020,1,22
38,new brunswick,canada,46.5653,-66.4619,0,0,0,2020,1,22
39,newfoundland and labrador,canada,53.1355,-57.6604,0,0,0,2020,1,22
40,nova scotia,canada,44.681999999999995,-63.7443,0,0,0,2020,1,22
41,ontario,canada,51.2538,-85.3232,0,0,0,2020,1,22
42,prince edward island,canada,46.5107,-63.4168,0,0,0,2020,1,22
43,quebec,canada,52.9399,-73.5491,0,0,0,2020,1,22
44,saskatchewan,canada,52.9399,-106.4509,0,0,0,2020,1,22
45,no_province/state,central african republic,6.6111,20.9394,0,0,0,2020,1,22
46,no_province/state,chad,15.4542,18.7322,0,0,0,2020,1,22
47,no_province/state,chile,-35.6751,-71.543,0,0,0,2020,1,22
48,anhui,china,31.8257,117.2264,1,0,0,2020,1,22
49,beijing,china,40.1824,116.4142,14,0,0,2020,1,22
50,chongqing,china,30.0572,107.874,6,0,0,2020,1,22
